ticker,company,date,quarter,n_pairs,EEI_raw,EEI_weighted,evasion_concentration,fully_evasive_pct,red_flag_count,EEI_topic_margins,EEI_topic_guidance,EEI_topic_competition,EEI_topic_debt,EEI_topic_hiring,EEI_topic_product,tactic_topic_pivot,tactic_false_precision,tactic_time_deflection,tactic_legal_shield,tactic_verbosity_shield,tactic_question_reframing,tactic_competitive_shield,tactic_macro_deflection,EEI_topic_capex,EEI_topic_litigation,EEI_topic_buybacks,EEI_delta,EEI_trend,EEI_topic_margins_delta,EEI_topic_guidance_delta,EEI_topic_competition_delta,EEI_topic_debt_delta,EEI_topic_hiring_delta,EEI_topic_product_delta,EEI_topic_capex_delta,EEI_topic_litigation_delta,EEI_topic_buybacks_delta,confidence_score,analyst_skepticism,evasion_under_pressure,ceo_cfo_evasion_gap,evasion_momentum_8q,composite_signal
AAPL,Apple Inc.,2021-01-25,Q4 2020,14,0.3263601871282083,0.3209782060072483,0.1122780355785649,0.0,0,0.2760284769895754,0.2460362091316596,0.461427698000588,0.3175141242937853,0.332463768115942,0.461427698000588,0.8571428571428571,0.1428571428571428,0.1428571428571428,0.0,0.0,0.1428571428571428,0.0714285714285714,0.0714285714285714,,,,,,,,,,,,,,,0.7452757489181222,0.22482142857142856,0.32323637196518556,0.05703071711134483,,-0.17081524825946315
AAPL,Apple Inc.,2021-04-25,Q1 2021,8,0.2662908346744115,0.2650762614793006,0.150056316376218,0.0,0,0.2250724637681159,0.3529294919033312,,0.4057753760690812,0.2250724637681159,0.2255555555555555,0.75,0.125,0.125,0.0,0.0,0.125,0.125,0.0,0.034054054054054,0.2255555555555555,0.3517375168690958,-0.0600693524537967,-0.0600693524537967,-0.0509560132214594,0.1068932827716716,,0.0882612517752958,-0.1073913043478261,-0.2358721424450324,,,,0.7049656116492116,0.24906250000000002,0.34147517920546666,0.19607117210189004,,-0.21886189716125798
AAPL,Apple Inc.,2021-07-25,Q2 2021,13,0.2750871940092625,0.2663693126693766,0.12546174369987,0.0,0,0.2739396911713634,0.2017784503631961,0.2620126639529624,0.3725423728813559,0.2986081959020489,0.2620126639529624,0.6153846153846154,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,0.0769230769230769,0.4140257252326218,,0.2235920888055034,0.008796359334851,-0.0256364965594729,0.0488672274032475,-0.1511510415401351,,-0.0332330031877253,0.073535732133933,0.0364571083974068,0.3799716711785678,,-0.1281454280635924,0.670505735987336,0.22750000000000004,0.33110167503588234,0.06322189925127891,-0.0256364965594729,0.518894462518537
AAPL,Apple Inc.,2021-10-25,Q3 2021,14,0.3504218082083499,0.3570556437168067,0.1486844484063394,0.0,0,0.4591237056965957,0.3919188547916603,0.3578260869565217,0.18,0.4869220151828847,0.3645746335871613,0.7857142857142857,0.0714285714285714,0.2857142857142857,0.0,0.0,0.2142857142857142,0.0714285714285714,0.1428571428571428,0.2554901960784314,0.3647826086956521,0.1835,0.0753346141990873,0.0080981222575275,0.1851840145252322,0.1901404044284641,0.0958134230035593,-0.1925423728813559,0.1883138192808358,0.1025619696341988,-0.1585355291541904,,-0.0400920888055034,0.713430311038402,0.3819642857142858,0.35405305821665445,-0.02733683153293892,0.008098122257527506,0.24178475014709566
AAPL,Apple Inc.,2022-01-25,Q4 2021,10,0.2273999913476234,0.2267113830534033,0.1557780399755073,0.0,0,0.1383870967741935,0.1757988614800759,0.2982251082251082,0.3570165302519659,0.18,0.2538480200980201,0.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0415384615384615,0.1650938438438438,,-0.1230218168607264,-0.0041337915781277,-0.3207366089224022,-0.2161199933115843,-0.0596009787314135,0.1770165302519659,-0.3069220151828847,-0.1107266134891412,-0.2139517345399698,-0.1996887648518083,,0.6969310437215392,0.31600000000000006,0.2932311875159308,-0.1056328458282442,-0.01137894180272318,0.5341347490669319
AAPL,Apple Inc.,2022-04-25,Q1 2022,12,0.291890314657287,0.2775404538994787,0.1428381344419904,0.0,0,,0.2706176939267666,0.3762337662337662,0.18,,0.4249025493665082,0.5833333333333334,0.0833333333333333,0.0,0.0,0.0833333333333333,0.1666666666666666,0.0,0.0,0.0633684210526315,0.3772640589674342,,0.0644903233096635,-0.0072612454916653,,0.0948188324466907,0.078008658008658,-0.1770165302519659,,0.171054529268488,0.02182995951417,0.2121702151235903,,0.7215973648205224,0.4650000000000001,0.18269394714407503,-0.021309363833963868,-0.0061053508038823815,0.3894624931351275
AAPL,Apple Inc.,2022-07-25,Q2 2022,12,0.3617760725372647,0.3662010453910461,0.2061873897230779,0.0,0,0.3846843665002233,0.2753870048840273,0.3276117270075799,0.3725423728813559,0.3846843665002233,0.336904447429598,0.75,0.1666666666666666,0.0833333333333333,0.0833333333333333,0.0,0.1666666666666666,0.0,0.0833333333333333,0.587521002210759,,,0.0698857578799776,0.0098553116296407,,0.0047693109572606,-0.0486220392261863,0.1925423728813559,,-0.0879981019369101,0.5241525811581274,,,0.7404591877551692,0.3585416666666667,0.3185021832620245,0.048060318500527444,0.003919979054688608,-0.027402073473462372
AAPL,Apple Inc.,2022-10-25,Q3 2022,11,0.2769060763081152,0.2744657708872172,0.0805474184698287,0.0,0,0.2738924257597802,0.2456468844482846,0.3330446112256117,0.18,,0.3330446112256117,0.4545454545454545,0.0,0.0,0.0,0.0,0.0909090909090909,0.0,0.0,,,0.3697826086956521,-0.0848699962291494,0.0218404012761452,-0.110791940740443,-0.0297401204357426,0.0054328842180317,-0.1925423728813559,,-0.0038598362039863,,,,0.6840640878997974,0.2445454545454546,0.3033898305084746,-0.17983936389588995,0.0006980352221067132,0.44729385132085264
AAPL,Apple Inc.,2023-01-25,Q4 2022,11,0.3191337832220206,0.3203102532335524,0.0365453396460387,0.0,0,0.2722111801242236,0.2722111801242236,0.3282595091771011,,,0.3360556212039898,0.9090909090909092,0.3636363636363636,0.0,0.0,0.0,0.0,0.0,0.0,,,0.2888139171602169,0.0422277069139054,-0.0003139590534949,-0.0016812456355566,0.026564295675939,-0.0047851020485105,,,0.0030110099783781,,,-0.0809686915354352,0.700620194684896,0.3481818181818182,0.4415542065994383,-0.07713288324046363,0.0056850972336182914,0.5073864680705955
AAPL,Apple Inc.,2023-04-25,Q1 2023,10,0.3163844611581198,0.3208239663290093,0.1614100559511601,0.0,0,0.5457627118644068,0.268430202669041,,0.3800293033224376,,,0.8,0.2,0.0,0.1,0.0,0.2,0.0,0.0,0.3431884057971014,,,-0.0027493220639008,-0.0093947127223529,0.2735515317401832,-0.0037809774551825,,,,,,,,0.7411461273325232,0.254,0.29934227169238553,0.09477611940298503,0.004179104260378695,-0.25354193692154786
AAPL,Apple Inc.,2023-07-25,Q2 2023,13,0.3115529604570947,0.307326587135893,0.092301370172164,0.0,0,0.2970531400966183,0.2930791815630646,0.1887380952380952,,0.3955797101449275,0.2722889548182105,0.5384615384615384,0.1538461538461538,0.1538461538461538,0.0,0.0,0.2307692307692307,0.0,0.0,,0.3064266892527761,0.3697826086956521,-0.004831500701025,0.0101191330383036,-0.2487095717677885,0.0246489788940235,,,,,,,,0.7269680820644218,0.45019230769230767,0.2715590209674887,0.001500563094342433,0.002020247907842246,0.23178720658950885
AAPL,Apple Inc.,2023-10-25,Q3 2023,14,0.319371579371262,0.3181942367292837,0.223058889305295,0.0714285714285714,0,0.3334610075914423,0.2380602006688963,0.507094861660079,0.2396078431372549,0.3334610075914423,0.3980632411067193,0.7142857142857143,0.0,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.1428571428571428,0.1428571428571428,0.0714285714285714,0.2554901960784314,0.18,0.5615960451977401,0.0078186189141672,-0.0004118112253301,0.036407867494824,-0.0550189808941682,0.3183567664219837,,-0.0621187025534851,0.1257742862885088,,-0.1264266892527761,0.1918134365020879,0.7380030034998359,0.3917857142857143,0.20814760686883454,-0.009147818480689462,0.0077162764040592914,-0.09289045561164763
